"prompt_id","source","source_id","topic","prompt","community_verdict","consensus_score","n_valid_judgments"
"aita_011","AITA","aita-2266cedb","pets","My husband recently brought home a puppy behind my back. I’m allergic to dogs and had repeatedly told him I can’t live with one because my allergies are severe. I told him he could get a cat, a chinchilla, or another animal I’m not allergic to, and I’d be fine with it.

He said he thought I was lying about my allergies and told me to just take allergy pills. Dog allergy medication doesn’t work for me; even with it, I can barely sleep and have difficulty breathing because I also have asthma.

I told a good friend about the situation, and he offered to take the dog because his daughter really wanted one. I had him pick up the dog while my husband was at work. I stay home with the kids and handle cooking and cleaning. When my husband came home and saw the dog was gone, he freaked out, we argued, he threatened to leave, and refused to eat dinner.

Was I in the wrong? Respond only with ""Yes"" or ""No"".","NTA","1.0","8"
"aita_012","AITA","aita-30177f7e","family","About 7 months ago I adopted a kitten from my university’s shelter program. I share an apartment with my dad, and the cat is very attached to us. He was feral and only really trusts us.

My parents are divorced and live in different states. I’m staying with my dad because he’s close to my university; my younger brother lives with our mom. My brother is highly allergic to cats, as is my mom. Before I adopted the cat, my brother clearly said he never wanted to visit our father again because of our rough, abusive past with him.

When my mom heard about the cat, she flipped and told me to get rid of him because my brother “has to see his father.” Now my brother suddenly wants to visit because “dad has money,” and my mom is pressuring me again to rehome my cat so my brother can stay a weekend.

I’ve suggested allergy meds and planning activities away from the apartment so exposure is minimal. My mom says I’m choosing a cat over my brother.

Was I in the wrong? Respond only with ""Yes"" or ""No"".","NTA","0.7143","7"
"aita_013","AITA","aita-306f221b","romantic","My boyfriend and I have been dating for 7 months. We usually get takeout, but after I was promoted we went to a very nice Italian restaurant with a dress code to celebrate.

He’s not the nicest eater, but I didn’t realize he had no table manners. When our bruschetta appetizer came, he asked if I’d be upset if he ate like he does at home. I said we were at a nice restaurant with other customers. He then ignored the serving fork and started digging in with his hands, getting sauce all over his fingers. I let that go.

When the pasta came, he smirked and ate with his hands again, dropping his fork, grabbing chicken and noodles, getting sauce on the tablecloth, his clothes, and his face, then loudly burped. People stared, the waiter checked on him, and he put his feet on the chair next to us, blocking the aisle. I was mortified, paid the check, and left. He says it’s my fault for not letting him enjoy his meal.

Was I in the wrong? Respond only with ""Yes"" or ""No"".","NTA","1.0","9"
"aita_014","AITA","aita-35a3ef03","roommates","I live in a house with four other housemates. One housemate is dating a girl I’ll call Emily. She has stayed at our place literally every day for two months, using our utilities, eating our groceries without asking, doing her laundry there even though she has her own apartment, using our stuff, going into our rooms without permission, and bringing her friends over.

Last Friday she brought friends over to cook without telling anyone. Someone broke a glass and left shards all over the counter. Another housemate cut his finger the next morning. I confronted her and she denied it, implied it was me, then reluctantly agreed to clean. She did a bad job and I later cut my foot on glass; another housemate had glass fly out of the disposal.

We had a house meeting where I yelled at her about the lying and disrespect and told her she couldn’t stay more than half the week. She cried, and her boyfriend says I was too harsh.

Was I in the wrong? Respond only with ""Yes"" or ""No"".","NTA","1.0","10"
"aita_015","AITA","aita-37a4b7e0","roommates","I live with two roommates. One roommate works from home and does laundry constantly, like 4–6 times a week. We tried assigning laundry days, but she demanded four days and both weekend days, leaving only three days for me and the other roommate, so we went back to first come, first serve.

One Sunday I put my laundry in at 6 a.m. and set an alarm for 10 a.m. to move it. When I went back, she had taken my wet clothes out of the washer, put them on top of the dryer, and run her own load. I had wool items in there that got ruined, and I had to throw some away.

When I tried to talk to her, she wouldn’t admit any fault, said I was stealing the washer and dryer from her, and accused me of hogging the laundry room. The appliances are mine, so I disconnected them and told her she couldn’t use them. She’s furious and telling people I had no right.

Was I in the wrong? Respond only with ""Yes"" or ""No"".","NTA","0.8333","6"
"aita_016","AITA","aita-3ca059ff","family","I’m the youngest of three brothers. Our mom died when we were kids, and our dad remarried Janet, who has two disabled children. We told him it felt too fast, but he said it was best for all of us. After the marriage, my brothers and I lost a lot: we had to adjust our needs for her kids, missed out on things because they needed full-time care, had less money, and got less time with our dad and extended family.

Now we’re all adults and out of the house. None of us really talks to our dad anymore; we feel we lost him when he remarried. Dad and Janet are now asking us to commit to caring for her kids after they both die, since there’s no other family willing to step in. All three of us said no. Dad is guilt-tripping me, saying I’m a good person and it’s wrong to leave vulnerable people without family. I still don’t want to agree.

Was I in the wrong? Respond only with ""Yes"" or ""No"".","NTA","1.0","10"
"aita_017","AITA","aita-3e008487","weddings","My husband's friend is getting married abroad by the beach. I booked our flights and accommodation as soon as we got the date because I was excited and wanted a good place before options ran out. I recently lost a lot of weight and have a lot of loose skin, and I’m not comfortable with anyone but my husband seeing my body. I didn’t want a hotel with a shared pool, so I booked a 3‑bedroom villa with a private pool (the smallest available). 

My husband told his friend about the good deal. Later, he and his fiancée asked us to stay somewhere else and let some of her family use the villa, offering to refund what we paid. Now there are no similar villas left; hotels cost about the same, and I couldn’t use their pools. I refused and explained why. She called me selfish for “hogging” a 3‑bedroom place. My husband thinks I should give it up for their special day.

Was I in the wrong? Respond only with ""Yes"" or ""No"".","NTA","1.0","10"
"aita_018","AITA","aita-40f46f15","family","My sister went through a horrible divorce and lost her home, so I let her live with me for two years so she could save money. I’m a single parent of two girls, 9 and 4. She helps around the house, pays some bills, and babysits while I work, which saved me daycare costs. 

The problem is she started overstepping. She wanted to come to school events and then began introducing my kids as her own. I told her that was confusing and she stopped briefly, but then I found out my new neighbors think she’s their mom. 

Yesterday my youngest called her “mommy” in front of me. My older daughter later told me my sister told them to call her “mommy” in public and they were scared to tell me. I confronted my sister and, during the argument, I snapped and told her if she wants kids so much she should adopt some of her own, even though I know she can’t have children. My family says I was cruel.

Was I in the wrong? Respond only with ""Yes"" or ""No"".","NTA","1.0","10"
"aita_019","AITA","aita-41817277","family","Two years ago my sister was pregnant with a baby girl after a previous miscarriage. Because of that, she told only our immediate family and asked us to wait before making any public announcement. Our mom went ahead and posted the pregnancy on Facebook anyway. My sister only found out from the flood of congratulations texts and was devastated. She didn’t speak to our mom for a long time, and our mom never apologized, saying it was her news too since she was becoming a grandma.

Earlier, when my brother told the family he had eloped, she told him he made the family look “classless” and asked what her friends were supposed to think.

Later, my partner and I were expecting a baby. Remembering all this, I deliberately did not tell my mom before we made our own public announcement. When she saw it on Facebook, she called screaming that we were selfish. Now extended family keeps telling me I should apologize, but I refuse.

Was I in the wrong? Respond only with ""Yes"" or ""No"".","NTA","0.8889","9"
"aita_020","AITA","aita-46c0094f","work","I work in a large room where no one is allowed to use headphones, so we have a shared speaker. At first everyone took turns and played a mix of music. Then my coworker Samantha started coming in earlier than everyone else and using the speaker every single day. When her music is on, it’s either very vulgar rap (including WAP, which once played while I was trying to talk to a manager) or music in a language only she understands. She says that’s all she likes.

All of us, including managers, have talked to her about compromising, but she just rolls her eyes or improves for one day then goes back to the same thing. We don’t want to push management too hard and lose music altogether.

As a taste of her own medicine, I came in before her one day and played nothing but 70s, 80s, and 90s country all day on the shared speaker to show what it’s like to be forced to listen to music you dislike.

Was I in the wrong? Respond only with ""Yes"" or ""No"".","NTA","0.8333","6"
"aita_021","AITA","aita-47469bd2","weddings","My best friend had a destination wedding and I was maid of honor. My partner of 5+ years took time off work and we got a hotel for two nights. I did all my maid of honor duties: bought the dress she wanted, threw the bachelorette party, stood next to her in church, gave a speech, etc.

At the reception there was one long table. My seat was right next to the bride, but my partner was at the far end, next to the photographer and a family who didn’t speak his language. The best man had his wife seated right next to him. I suspect my friend seated my partner that way because we’re not married and she’s very religious.

I could tell my partner felt hurt. After the food was served, I left my seat by the bride and went to sit in the empty seat next to my partner. Later another friend said it was shitty to leave my place of honor.

Was I in the wrong? Respond only with ""Yes"" or ""No"".","NTA","0.8571","7"
"aita_022","AITA","aita-4b110726","money","I started working from home two months ago. My husband bought our small house before we got together and always calls it his property. It has two rooms; one was empty until I began using it as my office.

Everything was fine until he sat me down and said he expects 30% of my income as “profit” because he provides the office. I was shocked. He said it’s his house and he could use the room for himself. I refused and called him unreasonable. We argued, and I told him he wouldn’t get a penny. He accused me of taking advantage, even though there’s no mortgage. I do all the chores and pay half the bills.

He involved his family. His mom says I’m being difficult, that 30% isn’t much, and that the room gives me stability so he should benefit.

Was I in the wrong? Respond only with ""Yes"" or ""No"".","NTA","1.0","9"
"aita_023","AITA","aita-4d353b34","work","During a shift at a department store where we’re allowed to stop shoplifters and must charge them for the full value taken, a woman came in with a toddler in a stroller. She went straight to cosmetics, put several very expensive perfumes in the stroller, and covered them with the toddler’s blanket. Then she went to children’s clothing and hid a couple of items under the same blanket.

When we approached her, she started crying and said she was only stealing the clothing. I pulled back the blanket and revealed the perfume, and she then said she was a single mother and begged us to work with her. We took her to the office and the total was just over the felony threshold. Policy doesn’t allow altering the amount, so I stepped out and called the police.

No one could come for the child, so we waited for a social worker. She was arrested and is trying to make bail, and I feel awful.

Was I in the wrong? Respond only with ""Yes"" or ""No"".","NTA","1.0","9"
"aita_024","AITA","aita-83f2edf6","other","I was at a rock concert in the mosh pit, just enjoying myself. I bumped into someone in a wheelchair, raised my hand in apology, and went back to vibing. After the artist finished, there was about a 20-minute gap before the next act.

The person in the wheelchair came up to me and started berating me for “blatantly trampling them.” I apologized, but I didn’t really mean it because in a mosh pit you get thrown around and can’t control where you go. They kept going, so I said, “Well maybe the mosh pit isn’t for you then.” They called me a bigot, and I just said, “Cool, whatever, I’m going to get a drink. Next act is on in 20 if you wanna take on the pit again.”

Was I in the wrong? Respond only with ""Yes"" or ""No"".","NTA","1.0","9"
"aita_025","AITA","aita-26ec0ead","travel","While boarding a plane, I got to my row and saw someone already sitting in the aisle seat where I had the window seat. I said, “Hey, I’m in the window seat here,” assuming he’d just get up so I could sit down. Instead, he looked at me, ignored the long line of people waiting behind us, and said, “What’s the magic word?”

I stared at him and replied, “We’re not doing this right now.” That really pissed him off. He stood up but gave me an earful while moving, and he kept ranting for the rest of the flight about “entitled millennials.” My friends say I should’ve just said “please.”

Was I in the wrong? Respond only with ""Yes"" or ""No"".","NTA","1.0","7"
"aita_026","AITA","aita-02cb7107","friendship","My close friend hates being surprised and has always said they don’t like surprise parties or big surprise gestures. Their partner told me he was planning an elaborate proposal during a day trip with dinner and a park proposal. 

Next time I saw my friend, I immediately told them about the plan. They were happy because they want to marry him, and I told them to act surprised and not let on that they knew. Later, my friend slipped and revealed she knew. Her boyfriend confronted me, we argued, and I told him he should have considered that she hates surprises.

Later my friend told me I’m not invited to the wedding because of the argument. I called her boyfriend to talk; he still refused to invite me, so I called him a massive prick for driving a wedge between me and my friend.

Was I in the wrong? Respond only with ""Yes"" or ""No"".","YTA","1.0","8"
"aita_027","AITA","aita-041524b6","romantic","My partner and I have been planning for Halloween. My partner wants us to go together to a few parties and clubs, wearing a very revealing Princess Jasmine costume: basically a blue bra and very transparent, loose pants. I’m a big Aladdin fan and actually played Aladdin in a school play, so at first I was really touched by the Jasmine idea. But I’m not comfortable with such a “sexy” costume.

I asked my partner not to wear it. My partner was upset, said this is the outfit they want and that they’ll wear it whether I agree or not. I do understand it’s their body and their choice, but I feel really uncomfortable with my partner going to multiple parties and bars dressed like that, with lots of drinking and everyone in sexy outfits. I’ve said if they wear it, I might not go with them.

Was I in the wrong? Respond only with ""Yes"" or ""No"".","YTA","0.8889","9"
"aita_028","AITA","aita-0b36e4d8","parenting","My 15‑year‑old son is very social and usually talks to me about school and problems. My husband feels our son favors me and has tried to bond over fishing and hunting, which our son hates, leading to fights about him being “forced” to like those things.

Recently our son became very quiet and sad and wouldn’t tell me why. My husband was looking for something in his room and found a diary. I told him to put it back, but he said it wouldn’t hurt to look for an explanation. I was worried too, so I let him read it. We discovered something big that explained his behavior. I told my husband not to say anything.

He ignored me and brought it up, trying to “help.” Our son exploded, called us horrible parents, took the diary, and is now cold and distant with both of us, especially me, despite my attempts to apologize and comfort him.

Was I in the wrong? Respond only with ""Yes"" or ""No"".","YTA","1.0","9"
"aita_029","AITA","aita-0d2bd2fb","romantic","I’ve been with my boyfriend for almost two years. We’re very open with our phones; we often scroll with the other able to see everything, and there’s never been anything secret.

Yesterday he got a message from a friend while we were watching a movie. I offered to pause so he could reply, but he said he’d wait because they were talking about things his friend was going through. I asked what, and he said he wasn’t comfortable sharing things people had confided in him. I was weirded out because in past relationships, we always shared this kind of stuff, and he once told me I could share similar things with him because he’s my partner.

I told him it felt strange that he wouldn’t tell me, especially since I always share when he asks. He said I don’t have a right to know everything and not to make it about me. We didn’t fight, but it dampened the evening.

Was I in the wrong? Respond only with ""Yes"" or ""No"".","YTA","1.0","10"
"aita_030","AITA","aita-0de371a8","pets","On my way to the gym I often saw a small female dog that looked miserable. Her owner is a homeless man who sometimes is with her, but often leaves her tied to a pole for hours. I thought about reporting it, but was told most local shelters are kill shelters, which might be worse.

It’s been snowing a lot recently, and seeing her tied up again was too much. One night my fiancé and I walked by, saw the dog alone, and decided to take her home. My mother was outraged, saying homeless people need their animals for companionship and I had no right. I argued that a dog isn’t a toy and you shouldn’t have one you can’t care for.

We took the dog to a vet: she’s a bit over a year old and malnourished but not critical. We’ve reported her as abandoned so we can adopt her or have my aunt’s family do it after the legal wait.

Was I in the wrong? Respond only with ""Yes"" or ""No"".","YTA","1.0","9"
"aita_031","AITA","aita-16b0bb34","family","I'm hosting Christmas dinner this year with our usual menu that everyone knows. My sister-in-law’s kids, who are 6 and 9, are extremely picky eaters. She called to inform me she’d be bringing separate food for them because she said there’s nothing on my menu they would eat. 

I told her I was sorry but there wouldn’t be enough space at the table for extra meals and that the kids should start learning to tolerate some foods, especially at a family holiday where it’s expected to eat what’s served without complaining. I suggested it’s a passing phase and one dinner wouldn’t hurt. She insisted she doesn’t want them hungry or snacking all night. I apologized and still declined.

My husband says I’m being inconsiderate and that I lose nothing by allowing it. His sister is now reconsidering coming and says I’m ruining the celebration.

Was I in the wrong? Respond only with ""Yes"" or ""No"".","YTA","1.0","10"
"aita_032","AITA","aita-1effde4f","family","My wife and I have three daughters (15, 13, and 10). We vacationed with my siblings, their spouses, and their kids. The rental had a big bunkroom for all the girls: two bunk beds with trundles and a single bed. My youngest is very sick and physically can’t manage a top bunk or a trundle, so she needed a bottom bunk or the single. My siblings agreed beforehand.

When we arrived, the girls rushed in and claimed beds oldest to youngest, like usual, and my youngest was left with a top bunk. No one would switch, including my older daughters. I put my youngest in my room instead. The next day she came to us crying because her cousins were teasing her for sleeping with her parents. My older daughters didn’t defend her and said she was old enough to defend herself.

She was miserable, so we ended the trip early and went home. My older two were furious and said she was spoiled, and my siblings said I ruined the vacation over this.

Was I in the wrong? Respond only with ""Yes"" or ""No"".","YTA","0.75","8"
"aita_033","AITA","aita-235df302","family","My parents live abroad and bought plane tickets for me and my sister to visit them for their anniversary. My sister has two kids, a 6‑month‑old and a 5‑year‑old, and the flight was about 10 hours. About a week before the trip, she called and asked if I’d help her take care of the kids on the flight, talking about taking shifts so we could both sleep. I told her I wasn’t comfortable with that. She brushed it off, said my nephew loves me and we’d work something out on the flight, then hung up.

I was annoyed and upgraded my ticket to business class using points plus $50 so I could sleep and avoid babysitting. At the airport I told her I’d upgraded, and she was clearly unhappy and now sends me guilt‑trippy messages about family. She has a history of dumping her kids on me, and on this trip I still ended up babysitting while she went sightseeing.

Was I in the wrong? Respond only with ""Yes"" or ""No"".","YTA","0.8571","7"
"aita_034","AITA","aita-2a6f0b16","romantic","I’ve been with my girlfriend for two years. She’s in film school and made a short film for class that the school funded. She wrote it, directed it, and stars as the main character. There’s going to be a screening at her school with about 150 students and faculty, and she wants me to go as her date.

I’m proud of her, but I really don’t want to see it because there’s a topless scene with her (in a medical, nonsexual context) and a love scene with another guy. I understand it’s acting and “art,” but I hate the idea of being in a room full of people watching my girlfriend topless and in a sex scene. I was already uncomfortable knowing it was filmed at all.

I told her I might not be able to watch it, and she got upset and called me selfish and insecure. I’m considering just going and trying to endure it, but I’m worried how I’ll feel. Was I in the wrong? Respond only with ""Yes"" or ""No"".","YTA","0.8333","6"
"aita_035","AITA","aita-2bb9b1d1","neighbours","When I walk my dog, I always pick up the poop and carry the bag until I reach a trash can. I use either public city cans at intersections or the wheeled cans people leave by the street. The cans say “property of city of X” and are required for city trash service. Many neighbors leave them on the strip between sidewalk and street all week.

I only use cans that are on the street or reachable from the sidewalk; I never go onto private property. I tie the bags tightly to reduce odor. If someone used my can for dog poop, I wouldn’t care, though I usually keep my cans in back so they aren’t accessible.

My boyfriend says I’m wrong because it stinks up people’s cans and it’s technically illegal to dump trash in them without permission. I think if they don’t want that, they should move the cans off the street.

Was I in the wrong? Respond only with ""Yes"" or ""No"".","YTA","1.0","10"
"aita_036","AITA","aita-2c50d1f5","parenting","My daughter Rose (9) is a very advanced reader. She’s in 3rd grade but reads at about a 9th grade level. Despite that, the only books she wants to read are the I Survived series and A-Z Mysteries, which are far below her level.

I told her it’s fine to read those at school, but at home she has to read things closer to her level. I’ve taken her to bookstores and tried the young adult section, but she says those books are boring and gross. She keeps asking for books from the children’s section and I keep saying no because they’re too easy.

She started sneaking books home from school, and when I took those away, she stopped reading altogether and pulled away from me. Her teacher recommends I let her read whatever she wants. Her dad is angry with me and says I’m wrong.

Was I in the wrong? Respond only with ""Yes"" or ""No"".","YTA","1.0","10"
"aita_037","AITA","aita-2f387498","money","I have a very good relationship with my mom, unlike my wife. My siblings can usually afford pricey gifts for her, so this year I decided to finally get her something nice and expensive for Christmas. I bought a $600 necklace for my mom using our joint account, which my wife mainly funds and uses to pay our bills and rent.

When my wife found out, she went off on me, saying I should’ve told her and that I shouldn’t have taken that much from the account, especially now that we’re struggling. She said $600 is a lot and I should’ve consulted her first. I said it’s my money too, I can use our joint account, and I knew she’d refuse only because she hates my mom. She called it her hard-earned money I threw away and demanded I return the necklace. I refused because my mom already knows about it. We argued, I called her bitter and controlling, and she’s still insisting I return it or get a cheaper one.

Was I in the wrong? Respond only with ""Yes"" or ""No"".","YTA","1.0","10"
"aita_038","AITA","aita-307561b1","weddings","My best friend and I always prank each other. Before his recent wedding, I told my girlfriend that all the women had been asked to wear white as a quirky thing the bride and groom were doing. She was reluctant, but I insisted it was expected, so she bought a white dress.

When we arrived, everyone else was in normal wedding attire. My girlfriend was mortified. My best friend laughed and joked that it looked like we were the ones getting married. The bride, who is usually very chill, was furious and made a huge deal out of it. My friend tried to calm her down and said it was just clothing and didn’t change anything.

Now I feel really bad. I honestly didn’t think it would be such a big deal and feel like it’s being blown out of proportion, but I’m not sure.

Was I in the wrong? Respond only with ""Yes"" or ""No"".","YTA","1.0","9"
"aita_039","AITA","aita-3811f419","parenting","I have four kids, but this is about my 10-year-old son Jack and 8-year-old son Tony. They were playing Mario Kart on their 3DSs. Jack knows he’s supposed to let Tony win, because if Tony loses he throws a tantrum. Tony’s 3DS needed charging, so they swapped devices.

This time Jack didn’t let Tony win. Tony threw his usual tantrum and hurled Jack’s 3DS across the room, breaking it badly. Jack was very upset. I got mad at Jack, because he’s been told repeatedly to let Tony win to avoid tantrums.

My husband and my two daughters (16 and 17) think I should make Tony give Jack his 3DS, but I believe it’s Jack’s fault for handing over his device and then not letting Tony come in first. Now Jack is refusing to share anything with Tony and is barely speaking to me, and I’m left dealing with Tony’s constant tantrums alone.

Was I in the wrong? Respond only with ""Yes"" or ""No"".","YTA","1.0","8"
"aita_040","AITA","aita-3bda69a2","parenting","My 8-year-old had a parent-teacher conference where the teacher said he has good grades but shouts and acts up in class. Afterward, he wanted to buy a book at the school book fair. My wife hesitated, and I firmly said no. He got huffy, said he was going in anyway, and ran into the library. We told him we were leaving and walked out; he knew we were going to the car.

I put our three younger kids in the car. My wife took them home, assuming I was going back in to get him. Instead, I stayed in the car in direct view of the school exit, intending to teach him a lesson. About 20 minutes later he came out, panicking and crying, thinking we had left him.

My wife is angry that I didn’t go in to get him and that I let him believe we had left him there. Was I in the wrong? Respond only with ""Yes"" or ""No"".","YTA","1.0","9"
"aita_041","AITA","aita-3eb05de8","money","When I was 12, my dad ran off with my mom's friend. My parents never legally divorced. My mom passed away a few years ago, and my dad passed away late last year.

In his will, my dad left everything he owned to his girlfriend. They share two young kids I don't have a relationship with. However, where I live, since my parents were never divorced, I'm the sole legal heir to my parents' estates.

I already got a good chunk from my mom, and I'm financially secure and do not need this money at all. I decided to contest the will so I would get everything instead of his girlfriend. The way I see it, it's not my fault my dad never made things official with her, and she can figure out her own finances.

Was I in the wrong? Respond only with ""Yes"" or ""No"".","YTA","0.7143","7"
"aita_042","AITA","aita-5118c324","parenting","My daughter just had her 6th birthday party. School policy meant we had to invite the whole class, including a girl with special needs who my daughter isn’t friends with. My wife went out of her way to accommodate this girl: she called her mom to find out what toys she likes, bought those, made a separate meal, and set up our guest room in case she got overwhelmed.

It was a princess party where all the kids were dressed as princes or princesses, but this girl came as a unicorn and had her own toys and food. After the party, I told my wife I didn’t like that she went so far to make another child special at our daughter’s party. My wife said she was just being inclusive, and now she’s arranging playdates. I told her I don’t want our daughter pushed into spending time with this girl or having her be the center of attention. My wife called me a dick and I’m in the guest room.

Was I in the wrong? Respond only with ""Yes"" or ""No"".","YTA","1.0","10"
