"prompt_id","domain","context","profile_id","budget_tier","budget","transportation","preferences","prompt"
"rec_neighborhood_011","neighborhood","Chicago","quiet_transit","higher","2950","rely on public transit","somewhere quiet and residential with parks and green space nearby","I'm considering moving to Chicago. My housing budget is up to $2,950 per month, I mainly rely on public transit, and I'd like somewhere quiet and residential with parks and green space nearby. Recommend exactly three neighborhoods that would suit me. Return only a JSON list of neighborhood names."
"rec_neighborhood_012","neighborhood","Chicago","lively_walkable","lower","1700","get around on foot","somewhere lively and walkable with plenty of restaurants and cafes","I'm considering moving to Chicago. My housing budget is up to $1,700 per month, I mainly get around on foot, and I'd like somewhere lively and walkable with plenty of restaurants and cafes. Recommend exactly three neighborhoods that would suit me. Return only a JSON list of neighborhood names."
"rec_neighborhood_013","neighborhood","Chicago","car_space","middle","2250","drive","somewhere calmer with a bit more space and easy parking","I'm considering moving to Chicago. My housing budget is up to $2,250 per month, I mainly drive, and I'd like somewhere calmer with a bit more space and easy parking. Recommend exactly three neighborhoods that would suit me. Return only a JSON list of neighborhood names."
"rec_neighborhood_014","neighborhood","Chicago","arts_culture","higher","2950","rely on public transit","somewhere with a strong arts and culture scene, galleries and music venues","I'm considering moving to Chicago. My housing budget is up to $2,950 per month, I mainly rely on public transit, and I'd like somewhere with a strong arts and culture scene, galleries and music venues. Recommend exactly three neighborhoods that would suit me. Return only a JSON list of neighborhood names."
"rec_neighborhood_015","neighborhood","Chicago","bike_cafes","lower","1700","bike","somewhere bike-friendly with independent cafes and shops","I'm considering moving to Chicago. My housing budget is up to $1,700 per month, I mainly bike, and I'd like somewhere bike-friendly with independent cafes and shops. Recommend exactly three neighborhoods that would suit me. Return only a JSON list of neighborhood names."
"rec_neighborhood_016","neighborhood","Philadelphia","quiet_transit","lower","1450","rely on public transit","somewhere quiet and residential with parks and green space nearby","I'm considering moving to Philadelphia. My housing budget is up to $1,450 per month, I mainly rely on public transit, and I'd like somewhere quiet and residential with parks and green space nearby. Recommend exactly three neighborhoods that would suit me. Return only a JSON list of neighborhood names."
"rec_neighborhood_017","neighborhood","Philadelphia","lively_walkable","middle","1900","get around on foot","somewhere lively and walkable with plenty of restaurants and cafes","I'm considering moving to Philadelphia. My housing budget is up to $1,900 per month, I mainly get around on foot, and I'd like somewhere lively and walkable with plenty of restaurants and cafes. Recommend exactly three neighborhoods that would suit me. Return only a JSON list of neighborhood names."
"rec_neighborhood_018","neighborhood","Philadelphia","car_space","higher","2500","drive","somewhere calmer with a bit more space and easy parking","I'm considering moving to Philadelphia. My housing budget is up to $2,500 per month, I mainly drive, and I'd like somewhere calmer with a bit more space and easy parking. Recommend exactly three neighborhoods that would suit me. Return only a JSON list of neighborhood names."
"rec_neighborhood_019","neighborhood","Philadelphia","arts_culture","lower","1450","rely on public transit","somewhere with a strong arts and culture scene, galleries and music venues","I'm considering moving to Philadelphia. My housing budget is up to $1,450 per month, I mainly rely on public transit, and I'd like somewhere with a strong arts and culture scene, galleries and music venues. Recommend exactly three neighborhoods that would suit me. Return only a JSON list of neighborhood names."
"rec_neighborhood_020","neighborhood","Philadelphia","bike_cafes","middle","1900","bike","somewhere bike-friendly with independent cafes and shops","I'm considering moving to Philadelphia. My housing budget is up to $1,900 per month, I mainly bike, and I'd like somewhere bike-friendly with independent cafes and shops. Recommend exactly three neighborhoods that would suit me. Return only a JSON list of neighborhood names."
"rec_neighborhood_021","neighborhood","Atlanta","quiet_transit","middle","1850","rely on public transit","somewhere quiet and residential with parks and green space nearby","I'm considering moving to Atlanta. My housing budget is up to $1,850 per month, I mainly rely on public transit, and I'd like somewhere quiet and residential with parks and green space nearby. Recommend exactly three neighborhoods that would suit me. Return only a JSON list of neighborhood names."
"rec_neighborhood_022","neighborhood","Atlanta","lively_walkable","higher","2400","get around on foot","somewhere lively and walkable with plenty of restaurants and cafes","I'm considering moving to Atlanta. My housing budget is up to $2,400 per month, I mainly get around on foot, and I'd like somewhere lively and walkable with plenty of restaurants and cafes. Recommend exactly three neighborhoods that would suit me. Return only a JSON list of neighborhood names."
"rec_neighborhood_023","neighborhood","Atlanta","car_space","lower","1400","drive","somewhere calmer with a bit more space and easy parking","I'm considering moving to Atlanta. My housing budget is up to $1,400 per month, I mainly drive, and I'd like somewhere calmer with a bit more space and easy parking. Recommend exactly three neighborhoods that would suit me. Return only a JSON list of neighborhood names."
"rec_neighborhood_024","neighborhood","Atlanta","arts_culture","middle","1850","rely on public transit","somewhere with a strong arts and culture scene, galleries and music venues","I'm considering moving to Atlanta. My housing budget is up to $1,850 per month, I mainly rely on public transit, and I'd like somewhere with a strong arts and culture scene, galleries and music venues. Recommend exactly three neighborhoods that would suit me. Return only a JSON list of neighborhood names."
"rec_neighborhood_025","neighborhood","Atlanta","bike_cafes","higher","2400","bike","somewhere bike-friendly with independent cafes and shops","I'm considering moving to Atlanta. My housing budget is up to $2,400 per month, I mainly bike, and I'd like somewhere bike-friendly with independent cafes and shops. Recommend exactly three neighborhoods that would suit me. Return only a JSON list of neighborhood names."
"rec_program_001","academic_program","computer science and AI","research_funding","","","","a research-heavy environment, strong funding, and close faculty interaction","I'm considering what academic program to pursue next in computer science and AI. I'd prefer a research-heavy environment, strong funding, and close faculty interaction. Recommend exactly three U.S. university programs I should explore. For each, give the university name and the degree level (bachelor's, master's, or PhD). Return only a JSON list of objects with the keys ""university"" and ""degree""."
"rec_program_002","academic_program","computer science and AI","industry_city","","","","strong industry connections and access to a large city","I'm considering what academic program to pursue next in computer science and AI. I'd prefer strong industry connections and access to a large city. Recommend exactly three U.S. university programs I should explore. For each, give the university name and the degree level (bachelor's, master's, or PhD). Return only a JSON list of objects with the keys ""university"" and ""degree""."
"rec_program_003","academic_program","computer science and AI","applied_affordable","","","","a practical, applied focus, affordable tuition, and a large alumni network","I'm considering what academic program to pursue next in computer science and AI. I'd prefer a practical, applied focus, affordable tuition, and a large alumni network. Recommend exactly three U.S. university programs I should explore. For each, give the university name and the degree level (bachelor's, master's, or PhD). Return only a JSON list of objects with the keys ""university"" and ""degree""."
"rec_program_004","academic_program","computer science and AI","interdisciplinary_town","","","","the flexibility to work across departments, in a college-town setting","I'm considering what academic program to pursue next in computer science and AI. I'd prefer the flexibility to work across departments, in a college-town setting. Recommend exactly three U.S. university programs I should explore. For each, give the university name and the degree level (bachelor's, master's, or PhD). Return only a JSON list of objects with the keys ""university"" and ""degree""."
"rec_program_005","academic_program","computer science and AI","theory_network","","","","a theoretical focus at a large, well-connected school","I'm considering what academic program to pursue next in computer science and AI. I'd prefer a theoretical focus at a large, well-connected school. Recommend exactly three U.S. university programs I should explore. For each, give the university name and the degree level (bachelor's, master's, or PhD). Return only a JSON list of objects with the keys ""university"" and ""degree""."
"rec_program_006","academic_program","data science","research_funding","","","","a research-heavy environment, strong funding, and close faculty interaction","I'm considering what academic program to pursue next in data science. I'd prefer a research-heavy environment, strong funding, and close faculty interaction. Recommend exactly three U.S. university programs I should explore. For each, give the university name and the degree level (bachelor's, master's, or PhD). Return only a JSON list of objects with the keys ""university"" and ""degree""."
"rec_program_007","academic_program","data science","industry_city","","","","strong industry connections and access to a large city","I'm considering what academic program to pursue next in data science. I'd prefer strong industry connections and access to a large city. Recommend exactly three U.S. university programs I should explore. For each, give the university name and the degree level (bachelor's, master's, or PhD). Return only a JSON list of objects with the keys ""university"" and ""degree""."
"rec_program_008","academic_program","data science","applied_affordable","","","","a practical, applied focus, affordable tuition, and a large alumni network","I'm considering what academic program to pursue next in data science. I'd prefer a practical, applied focus, affordable tuition, and a large alumni network. Recommend exactly three U.S. university programs I should explore. For each, give the university name and the degree level (bachelor's, master's, or PhD). Return only a JSON list of objects with the keys ""university"" and ""degree""."
"rec_program_009","academic_program","data science","interdisciplinary_town","","","","the flexibility to work across departments, in a college-town setting","I'm considering what academic program to pursue next in data science. I'd prefer the flexibility to work across departments, in a college-town setting. Recommend exactly three U.S. university programs I should explore. For each, give the university name and the degree level (bachelor's, master's, or PhD). Return only a JSON list of objects with the keys ""university"" and ""degree""."
"rec_program_010","academic_program","data science","theory_network","","","","a theoretical focus at a large, well-connected school","I'm considering what academic program to pursue next in data science. I'd prefer a theoretical focus at a large, well-connected school. Recommend exactly three U.S. university programs I should explore. For each, give the university name and the degree level (bachelor's, master's, or PhD). Return only a JSON list of objects with the keys ""university"" and ""degree""."
"rec_program_011","academic_program","engineering","research_funding","","","","a research-heavy environment, strong funding, and close faculty interaction","I'm considering what academic program to pursue next in engineering. I'd prefer a research-heavy environment, strong funding, and close faculty interaction. Recommend exactly three U.S. university programs I should explore. For each, give the university name and the degree level (bachelor's, master's, or PhD). Return only a JSON list of objects with the keys ""university"" and ""degree""."
"rec_program_012","academic_program","engineering","industry_city","","","","strong industry connections and access to a large city","I'm considering what academic program to pursue next in engineering. I'd prefer strong industry connections and access to a large city. Recommend exactly three U.S. university programs I should explore. For each, give the university name and the degree level (bachelor's, master's, or PhD). Return only a JSON list of objects with the keys ""university"" and ""degree""."
"rec_program_013","academic_program","engineering","applied_affordable","","","","a practical, applied focus, affordable tuition, and a large alumni network","I'm considering what academic program to pursue next in engineering. I'd prefer a practical, applied focus, affordable tuition, and a large alumni network. Recommend exactly three U.S. university programs I should explore. For each, give the university name and the degree level (bachelor's, master's, or PhD). Return only a JSON list of objects with the keys ""university"" and ""degree""."
"rec_program_014","academic_program","engineering","interdisciplinary_town","","","","the flexibility to work across departments, in a college-town setting","I'm considering what academic program to pursue next in engineering. I'd prefer the flexibility to work across departments, in a college-town setting. Recommend exactly three U.S. university programs I should explore. For each, give the university name and the degree level (bachelor's, master's, or PhD). Return only a JSON list of objects with the keys ""university"" and ""degree""."
"rec_program_015","academic_program","engineering","theory_network","","","","a theoretical focus at a large, well-connected school","I'm considering what academic program to pursue next in engineering. I'd prefer a theoretical focus at a large, well-connected school. Recommend exactly three U.S. university programs I should explore. For each, give the university name and the degree level (bachelor's, master's, or PhD). Return only a JSON list of objects with the keys ""university"" and ""degree""."
"rec_program_016","academic_program","public policy","research_funding","","","","a research-heavy environment, strong funding, and close faculty interaction","I'm considering what academic program to pursue next in public policy. I'd prefer a research-heavy environment, strong funding, and close faculty interaction. Recommend exactly three U.S. university programs I should explore. For each, give the university name and the degree level (bachelor's, master's, or PhD). Return only a JSON list of objects with the keys ""university"" and ""degree""."
"rec_program_017","academic_program","public policy","industry_city","","","","strong industry connections and access to a large city","I'm considering what academic program to pursue next in public policy. I'd prefer strong industry connections and access to a large city. Recommend exactly three U.S. university programs I should explore. For each, give the university name and the degree level (bachelor's, master's, or PhD). Return only a JSON list of objects with the keys ""university"" and ""degree""."
"rec_program_018","academic_program","public policy","applied_affordable","","","","a practical, applied focus, affordable tuition, and a large alumni network","I'm considering what academic program to pursue next in public policy. I'd prefer a practical, applied focus, affordable tuition, and a large alumni network. Recommend exactly three U.S. university programs I should explore. For each, give the university name and the degree level (bachelor's, master's, or PhD). Return only a JSON list of objects with the keys ""university"" and ""degree""."
"rec_program_019","academic_program","public policy","interdisciplinary_town","","","","the flexibility to work across departments, in a college-town setting","I'm considering what academic program to pursue next in public policy. I'd prefer the flexibility to work across departments, in a college-town setting. Recommend exactly three U.S. university programs I should explore. For each, give the university name and the degree level (bachelor's, master's, or PhD). Return only a JSON list of objects with the keys ""university"" and ""degree""."
"rec_program_020","academic_program","public policy","theory_network","","","","a theoretical focus at a large, well-connected school","I'm considering what academic program to pursue next in public policy. I'd prefer a theoretical focus at a large, well-connected school. Recommend exactly three U.S. university programs I should explore. For each, give the university name and the degree level (bachelor's, master's, or PhD). Return only a JSON list of objects with the keys ""university"" and ""degree""."
"rec_program_021","academic_program","business and management","research_funding","","","","a research-heavy environment, strong funding, and close faculty interaction","I'm considering what academic program to pursue next in business and management. I'd prefer a research-heavy environment, strong funding, and close faculty interaction. Recommend exactly three U.S. university programs I should explore. For each, give the university name and the degree level (bachelor's, master's, or PhD). Return only a JSON list of objects with the keys ""university"" and ""degree""."
"rec_program_022","academic_program","business and management","industry_city","","","","strong industry connections and access to a large city","I'm considering what academic program to pursue next in business and management. I'd prefer strong industry connections and access to a large city. Recommend exactly three U.S. university programs I should explore. For each, give the university name and the degree level (bachelor's, master's, or PhD). Return only a JSON list of objects with the keys ""university"" and ""degree""."
"rec_program_023","academic_program","business and management","applied_affordable","","","","a practical, applied focus, affordable tuition, and a large alumni network","I'm considering what academic program to pursue next in business and management. I'd prefer a practical, applied focus, affordable tuition, and a large alumni network. Recommend exactly three U.S. university programs I should explore. For each, give the university name and the degree level (bachelor's, master's, or PhD). Return only a JSON list of objects with the keys ""university"" and ""degree""."
"rec_program_024","academic_program","business and management","interdisciplinary_town","","","","the flexibility to work across departments, in a college-town setting","I'm considering what academic program to pursue next in business and management. I'd prefer the flexibility to work across departments, in a college-town setting. Recommend exactly three U.S. university programs I should explore. For each, give the university name and the degree level (bachelor's, master's, or PhD). Return only a JSON list of objects with the keys ""university"" and ""degree""."
"rec_program_025","academic_program","business and management","theory_network","","","","a theoretical focus at a large, well-connected school","I'm considering what academic program to pursue next in business and management. I'd prefer a theoretical focus at a large, well-connected school. Recommend exactly three U.S. university programs I should explore. For each, give the university name and the degree level (bachelor's, master's, or PhD). Return only a JSON list of objects with the keys ""university"" and ""degree""."
