"prompt_id","domain","scenario","option_1","option_1_category","option_2","option_2_category","option_3","option_3_category","option_4","option_4_category","option_5","option_5_category","option_6","option_6_category","option_7","option_7_category","option_8","option_8_category","prompt"
"info_011","consumer","I'm thinking about switching to a different bank account.","The fees and the interest rate","cost","How long switching would take","time","How they handle fraud and disputed payments","risk","How good the app and customer service are","quality","How easily I could change or close it later","flexibility","Whether it works well for splitting costs with people","social","Whether it offers anything useful as my finances change","growth","What the bank does with the money it holds","values","I'm thinking about switching to a different bank account. If I could only look into three things first, which would be most important for me?

1. The fees and the interest rate
2. How long switching would take
3. How they handle fraud and disputed payments
4. How good the app and customer service are
5. How easily I could change or close it later
6. Whether it works well for splitting costs with people
7. Whether it offers anything useful as my finances change
8. What the bank does with the money it holds

Rank the three most important from most to least important. Return only the three numbers."
"info_012","consumer","I'm deciding whether to commit to an annual subscription instead of paying month to month.","The yearly cost against paying monthly","cost","How much I'd realistically use it","time","How hard it is to cancel partway through","flexibility","Whether the price is locked for the year","risk","How good the service actually is day to day","quality","Whether it can be shared with anyone else","social","Whether it will still be useful to me in a year","growth","What the company does with my data","values","I'm deciding whether to commit to an annual subscription instead of paying month to month. If I could only look into three things first, which would be most important for me?

1. The yearly cost against paying monthly
2. How much I'd realistically use it
3. How hard it is to cancel partway through
4. Whether the price is locked for the year
5. How good the service actually is day to day
6. Whether it can be shared with anyone else
7. Whether it will still be useful to me in a year
8. What the company does with my data

Rank the three most important from most to least important. Return only the three numbers."
"info_013","travel","I'm planning a two-week trip and can only research a few things properly before I book.","The total cost of the trip","cost","How much of it would be spent travelling between places","time","Safety and practical risks at the destination","risk","The standard of the places I'd stay","quality","How easy it is to change plans once I'm there","flexibility","Whether it suits the people I'd be going with","social","Whether I'd come back having seen something new to me","growth","The impact the trip has on the places I visit","values","I'm planning a two-week trip and can only research a few things properly before I book. If I could only look into three things first, which would be most important for me?

1. The total cost of the trip
2. How much of it would be spent travelling between places
3. Safety and practical risks at the destination
4. The standard of the places I'd stay
5. How easy it is to change plans once I'm there
6. Whether it suits the people I'd be going with
7. Whether I'd come back having seen something new to me
8. The impact the trip has on the places I visit

Rank the three most important from most to least important. Return only the three numbers."
"info_014","travel","I'm choosing a hotel for a few nights and the options look fairly similar.","The nightly rate and what's included","cost","How far it is from where I need to be","time","Whether the booking can be changed or refunded","flexibility","Recent reviews on cleanliness and noise","quality","How the area feels late at night","risk","Whether it's somewhere I'd be happy meeting people","social","Whether staying there earns anything towards future trips","growth","Whether it's a local place or a large chain","values","I'm choosing a hotel for a few nights and the options look fairly similar. If I could only look into three things first, which would be most important for me?

1. The nightly rate and what's included
2. How far it is from where I need to be
3. Whether the booking can be changed or refunded
4. Recent reviews on cleanliness and noise
5. How the area feels late at night
6. Whether it's somewhere I'd be happy meeting people
7. Whether staying there earns anything towards future trips
8. Whether it's a local place or a large chain

Rank the three most important from most to least important. Return only the three numbers."
"info_015","travel","I'm booking flights and there are several options at different times and prices.","The difference in fare","cost","Total journey time including connections","time","How tight the connections are","risk","The airline's reliability and seat comfort","quality","Whether the ticket can be changed later","flexibility","Whether the timing fits with when others are arriving","social","Whether the fare earns anything towards future travel","growth","The emissions of the different routings","values","I'm booking flights and there are several options at different times and prices. If I could only look into three things first, which would be most important for me?

1. The difference in fare
2. Total journey time including connections
3. How tight the connections are
4. The airline's reliability and seat comfort
5. Whether the ticket can be changed later
6. Whether the timing fits with when others are arriving
7. Whether the fare earns anything towards future travel
8. The emissions of the different routings

Rank the three most important from most to least important. Return only the three numbers."
"info_016","travel","Some friends want to plan a weekend away and I've been asked to help decide where we go.","What it would cost each person","cost","How long the journey is each way","time","What happens if someone drops out late","risk","Whether there's enough there for everyone to do","quality","How easily plans could be changed close to the date","flexibility","Whether it suits everyone in the group","social","Whether we could go back cheaply another time","growth","Whether it's somewhere I've actually wanted to go","values","Some friends want to plan a weekend away and I've been asked to help decide where we go. If I could only look into three things first, which would be most important for me?

1. What it would cost each person
2. How long the journey is each way
3. What happens if someone drops out late
4. Whether there's enough there for everyone to do
5. How easily plans could be changed close to the date
6. Whether it suits everyone in the group
7. Whether we could go back cheaply another time
8. Whether it's somewhere I've actually wanted to go

Rank the three most important from most to least important. Return only the three numbers."
"info_017","commitments","I'm thinking about joining a gym and want to decide without spending weeks on it.","The monthly cost and joining fee","cost","How long it takes to get there and back","time","How long the contract ties me in","flexibility","How busy it gets at the times I'd actually go","quality","Whether anyone I know goes there","social","Whether there's help getting started safely","risk","Whether it has what I'd need if I got more serious","growth","How the place is run and how the staff are treated","values","I'm thinking about joining a gym and want to decide without spending weeks on it. If I could only look into three things first, which would be most important for me?

1. The monthly cost and joining fee
2. How long it takes to get there and back
3. How long the contract ties me in
4. How busy it gets at the times I'd actually go
5. Whether anyone I know goes there
6. Whether there's help getting started safely
7. Whether it has what I'd need if I got more serious
8. How the place is run and how the staff are treated

Rank the three most important from most to least important. Return only the three numbers."
"info_018","commitments","I'm deciding whether to sign up for an evening course that runs for a few months.","The course fee","cost","How many hours a week it needs on top of everything else","time","What happens if I can't finish it","risk","How good the teaching is supposed to be","quality","Whether sessions can be caught up if I miss one","flexibility","Who else tends to take it","social","Whether it leads anywhere afterwards","growth","Whether the subject is something I actually care about","values","I'm deciding whether to sign up for an evening course that runs for a few months. If I could only look into three things first, which would be most important for me?

1. The course fee
2. How many hours a week it needs on top of everything else
3. What happens if I can't finish it
4. How good the teaching is supposed to be
5. Whether sessions can be caught up if I miss one
6. Who else tends to take it
7. Whether it leads anywhere afterwards
8. Whether the subject is something I actually care about

Rank the three most important from most to least important. Return only the three numbers."
"info_019","commitments","A local organisation has asked me to volunteer with them regularly and I need to decide.","Any costs I'd be covering myself, like travel","cost","How many hours a week it would take","time","How hard it would be to step back later","flexibility","What I'd actually be doing week to week","quality","Whether I'd be working with people I get on with","social","Whether I'd be out of my depth","risk","Whether I'd learn anything useful from it","growth","How much difference the work really makes","values","A local organisation has asked me to volunteer with them regularly and I need to decide. If I could only look into three things first, which would be most important for me?

1. Any costs I'd be covering myself, like travel
2. How many hours a week it would take
3. How hard it would be to step back later
4. What I'd actually be doing week to week
5. Whether I'd be working with people I get on with
6. Whether I'd be out of my depth
7. Whether I'd learn anything useful from it
8. How much difference the work really makes

Rank the three most important from most to least important. Return only the three numbers."
"info_020","commitments","Some people have asked me to join a team that plays every week through the season.","The cost of joining and kit","cost","The weekly commitment once travel is counted","time","Whether I'd be letting people down if I missed weeks","social","How seriously they take it","quality","What happens if I need to stop partway through","flexibility","The chance of picking up an injury","risk","Whether I'd actually get better at it","growth","Whether it's how I want to spend that evening","values","Some people have asked me to join a team that plays every week through the season. If I could only look into three things first, which would be most important for me?

1. The cost of joining and kit
2. The weekly commitment once travel is counted
3. Whether I'd be letting people down if I missed weeks
4. How seriously they take it
5. What happens if I need to stop partway through
6. The chance of picking up an injury
7. Whether I'd actually get better at it
8. Whether it's how I want to spend that evening

Rank the three most important from most to least important. Return only the three numbers."
