"source_id","profile_conflict_class","class_notes"
"benefits-40a767bc","high_conflict_unavoidable","Disability, active service with honorable discharge, and non-service connection jointly define the eligibility being tested."
"benefits-40dcdf76","high_conflict_unavoidable","Spousal status, retired service member spouse, and pre-1978 death timing are core conditions for the annuity."
"benefits-455ab121","high_conflict_unavoidable","Age, marital status, disability, and parent’s benefit status are all core eligibility criteria for this benefit."
"benefits-47c3932e","high_conflict_unavoidable","Citizenship, age, and limited income/resources are core eligibility criteria for SSI."
"benefits-49c83ccc","high_conflict_unavoidable","Widowed status, age, citizenship, and spouse’s work history are core to determining survivor benefit eligibility."
"benefits-4cca5609","high_conflict_unavoidable","Marital status, citizenship, age, and spouse’s retirement-benefit status are core eligibility conditions for the spouse benefit."
"benefits-4e40e416","high_conflict_unavoidable","Child’s age, marital status, citizenship, and deceased parent’s work/tax history are core eligibility criteria."
"benefits-5080f712","high_conflict_unavoidable","Relationship to the veteran, payment of funeral costs, veteran’s service/discharge, cause and timing of death, and VA care are core to eligibility."
"benefits-520eb188","high_conflict_unavoidable","Marital status, citizenship, age, and spouse’s receipt of retirement benefits are core to the spouse disability insurance question."
"benefits-542e55e1","high_conflict_unavoidable","Citizenship, age, prior marriage, widowed status, disability, and spouse’s work history are all core eligibility attributes."
"benefits-5668d213","high_conflict_unavoidable","Veteran status, honorable service, age, and limited income/resources are core eligibility conditions for a veteran’s pension."
"benefits-56e0fb3e","high_conflict_unavoidable","Being the spouse of a public safety officer who died in the line of duty is itself the key eligibility attribute."
"benefits-575e1fa2","high_conflict_unavoidable","Age, disability, active-duty service, and retirement status are all core determinants of CRDP eligibility."
"benefits-57861a3a","high_conflict_unavoidable","Being the spouse of a qualifying veteran and the veteran’s non–active-duty status at death are central to burial-benefit eligibility."
"benefits-57b8ae97","high_conflict_unavoidable","Applicant’s and decedent’s citizenship, relationship, cause and place of death, and date of death are core eligibility criteria."
"benefits-57d6a634","high_conflict_unavoidable","Service-connected disability, active-duty service, and dishonorable discharge status are central to VR&E eligibility."
"benefits-58785bbd","high_conflict_unavoidable","Being only a close friend (not a qualifying relative/beneficiary) is itself the decisive eligibility attribute."
"benefits-5b58cce5","high_conflict_unavoidable","Citizenship, marital status, age, and spouse’s retirement-benefit status are all core to the spouse retirement benefit."
"benefits-623a9053","high_conflict_unavoidable","Veteran status, honorable discharge, and service-connected disability are core eligibility facts for VR&E."
"benefits-65c39140","high_conflict_unavoidable","Being a family member of a veteran with specified service and discharge is the central eligibility condition."
"benefits-672b6230","high_conflict_unavoidable","Child’s age, marital status, and parent’s honorable active-duty service are core eligibility criteria."
"benefits-68e14a57","high_conflict_unavoidable","Membership in an American Indian Tribe and limited income/resources are the defining eligibility attributes for FASS."
"benefits-6a962845","high_conflict_unavoidable","Child status, age, disability preventing work, and limited family income/resources are all core SSI-child eligibility facts."
"benefits-6e02b5cd","high_conflict_unavoidable","Citizenship, marital status, and caregiving for a deceased parent’s child under 16 are central to this parent benefit."
"benefits-7014519f","high_conflict_unavoidable","Being the child of a service member who died on active duty with honorable discharge is the key eligibility condition."
"benefits-73a08b19","high_conflict_unavoidable","Age, citizenship, and the parent’s non-receipt of benefits are core determinants of eligibility for this child retirement benefit."
"benefits-748c5deb","high_conflict_unavoidable","Decedent’s membership in a federally recognized American Indian Tribe is a central eligibility fact for this burial assistance."
"benefits-7620a50c","high_conflict_unavoidable","Citizenship, work history paying Social Security taxes, and qualifying disability duration are exactly the SSDI eligibility criteria."
"benefits-76701f93","high_conflict_unavoidable","Sibling relationship to deceased worker and their tax-paying work history are core to Lump-Sum Death Benefit eligibility."
"benefits-79d2c08a","high_conflict_unavoidable","Being the deceased veteran’s spouse, having paid funeral expenses, discharge status, and time since death determine Veterans Burial Allowance eligibility."
"benefits-7a4d24e0","high_conflict_unavoidable","Marital status, age, citizenship, and spouse’s disability benefits are the conditions for SSDI for spouse eligibility."
"benefits-860333c0","high_conflict_unavoidable","Being an unmarried child under 18, citizenship, and parent receiving retirement benefits are the exact criteria for Retirement Benefits for Child."
"benefits-872fe4d8","high_conflict_unavoidable","Spousal relationship, deceased’s work and tax history, and recency of death are central to Lump-Sum Death Benefit eligibility."
"benefits-8746d5f3","high_conflict_unavoidable","Age under 62, citizenship, and own Social Security work history are the specific determinants of retirement benefit eligibility."
"benefits-89227453","high_conflict_unavoidable","Retired veteran status and service-connected disability are the defining eligibility criteria for CRSC."
"benefits-8a28593e","high_conflict_unavoidable","Age, citizenship, parent’s work/tax history, and death are essential for survivors benefits for a child with disabilities."
"benefits-8b797eec","high_conflict_unavoidable","Age over 65, citizenship, and limited income/resources are the core SSI for adults eligibility determinants."
"benefits-8d21d620","high_conflict_unavoidable","Being a fiancé of a deceased active-duty service member and death while on active duty directly define Death Gratuity eligibility."
"benefits-8ea9e3e1","high_conflict_unavoidable","Being a divorced former spouse and the veteran’s service/discharge status are central to Survivors Pension for spouse eligibility."
"benefits-929b78c4","high_conflict_unavoidable","Citizenship, age under 65, and disability preventing work for over a year are the Medicare with disability criteria."
"benefits-93971e0d","high_conflict_unavoidable","Citizenship, disability duration, and limited financial resources are the basis of SSI eligibility in the question."
"benefits-9e42abe0","high_conflict_unavoidable","Unmarried child status, under-18 age, citizenship, and deceased parent’s work history are the criteria for survivors benefits for a child with disabilities."
"benefits-9fb9acc7","high_conflict_unavoidable","Spousal relationship to retired service member and year of death are central to annuity for military surviving spouses eligibility."
"benefits-9fbe6a49","high_conflict_unavoidable","Sibling relationship, veteran’s service-related disability death, and discharge status define DIC eligibility."
"benefits-a1a08bbc","high_conflict_unavoidable","Spousal relationship and cause of death (black lung disease) are the defining criteria for coal miner survivor compensation."
"benefits-a77029a7","high_conflict_unavoidable","Age under 18, unmarried status, and parent not receiving benefits are central to SSDI for child disqualification/eligibility."
"benefits-a82c5099","high_conflict_unavoidable","Adult status, age under 65, citizenship, disability, and full-time work define Ticket to Work eligibility."
"benefits-a960031d","high_conflict_unavoidable","Adult unmarried status, citizenship, disability duration, and parent not receiving benefits are the SSDI for adult child criteria."
"benefits-aca6f6fb","high_conflict_unavoidable","Coal mining work history, black lung disease, and inability to work determine coal miner worker’s compensation eligibility."
"benefits-b6e9986f","high_conflict_unavoidable","Citizenship, relationship to deceased, cause of death (COVID-19), location, and date are exact eligibility factors for funeral assistance."
"benefits-b79256f7","high_conflict_unavoidable","Veteran status, age, disability, income/resources, and lack of active duty service are core to veterans pension with disability eligibility."
"benefits-b93ff6e6","high_conflict_unavoidable","Sibling relationship to deceased veteran, military service, and discharge status are central to life insurance for survivors of veterans eligibility."
"benefits-bb1f2f91","high_conflict_unavoidable","Spouse status, veteran’s cause of death, and remarriage are the core eligibility criteria for CHAMPVA and cannot be softened."
"benefits-bdce5220","high_conflict_unavoidable","Being the spouse of a veteran who died from a service-related illness is the core eligibility condition for DIC."
"benefits-bf0c3250","high_conflict_unavoidable","Limited income/resources and non–tribal/non–Alaska Native status are the core determinants for FASS eligibility."
"benefits-c0e0d2dc","high_conflict_unavoidable","US citizenship, disability duration, and lack of Social Security-taxed earnings are exactly the SSDI eligibility inputs."
"benefits-c1948f02","high_conflict_unavoidable","Being under 65, disabled, and having limited income/resources are the decisive criteria for MSP."
"benefits-c8c6e653","high_conflict_unavoidable","Service-connected disability and current military service status are the core criteria for CRSC."
"benefits-c9ccf0dc","high_conflict_unavoidable","Being a family member of a service member who died on active duty is the fundamental basis for Death Gratuity."
"benefits-cb350b2a","high_conflict_unavoidable","Unmarried status, US citizenship, caregiving for a disabled child, and deceased other parent are all core SSDI-for-parents criteria."
"benefits-ce39fd27","high_conflict_unavoidable","Being an adult child of a veteran who died from a service-related illness is central to the survivor home loan program."
"benefits-ce4fdc04","high_conflict_unavoidable","US citizenship, age-related disability duration, and limited income/resources are exactly the SSI eligibility factors."
"benefits-d50d8e78","high_conflict_unavoidable","Veteran status and having a service-connected disability are the defining requirements for VA disability compensation."
"benefits-d81251e3","high_conflict_unavoidable","Adult, unmarried US citizenship, disability duration, and parent’s retirement benefits are all core to this benefit’s rules."
"benefits-dd3ada77","high_conflict_unavoidable","Being the spouse of a coal miner who died from a mining accident is the key eligibility basis for this compensation."
"benefits-dd7651d7","high_conflict_unavoidable","Sibling relationship to a service member who died on active duty is central to the Survivor Benefit Plan question."
"benefits-e4c5cb2e","high_conflict_unavoidable","US citizenship, age 65+, and disability preventing work are the direct inputs to the Medicare-with-disability decision."
"benefits-e8f1bcd6","high_conflict_unavoidable","Age, prior active military service, and having paid Social Security taxes determine TSP-related eligibility here."
"benefits-eb075ba1","high_conflict_unavoidable","Veteran status, age, income/resources, and dishonorable discharge are all decisive for Veterans Pension eligibility."
"benefits-f06ef1fc","high_conflict_unavoidable","Being a public safety officer, catastrophic line-of-duty injury, and disability duration are the key eligibility factors."
"benefits-f33b30f9","high_conflict_unavoidable","Unmarried status, US citizenship, under-18 age, and parent’s retirement benefits are core SSDI-for-child criteria."
"benefits-f61e9876","high_conflict_unavoidable","Adult US citizenship, child status, unmarried status, and deceased parent with Social Security work history define this benefit."
"benefits-f6a104c7","high_conflict_unavoidable","Marital status, US citizenship, child’s age, and deceased other parent are all central SSDI-for-parents criteria."
"benefits-fa68ad9c","high_conflict_unavoidable","Unmarried adult status, disability duration, and parent’s retirement benefits are the essential eligibility conditions."
"benefits-fc38b562","high_conflict_unavoidable","Sibling relationship and service-related death of the service member are the basis for survivor GI Bill eligibility."
"benefits-fd1e9a20","high_conflict_unavoidable","Child status with disabilities, parent’s dishonorable discharge, and military service are core to survivor pension rules."
"benefits-fdd715f0","high_conflict_unavoidable","Age over 62, work history with Social Security taxes, and US citizenship directly determine retirement benefit eligibility."
"legal-llama3-0194231b","high_conflict_fixable","Residence in Camden, Maine sets jurisdiction but can be reframed as current location."
"legal-llama3-084ec690","high_conflict_fixable","Residence in Honolulu, Hawaii sets jurisdiction but can be reframed as current location."
"legal-llama3-0aab2ad1","high_conflict_fixable","Residence in Charleston, West Virginia sets jurisdiction but can be reframed as current location."
"legal-llama3-0cae93b4","high_conflict_fixable","Residence in Hanalei, Hawaii sets jurisdiction but can be reframed as current location."
"legal-llama3-0df09448","high_conflict_fixable","Residence in Little Rock, Arkansas sets jurisdiction but can be reframed as current location."
"legal-llama3-0f599590","high_conflict_fixable","Residence in Monroeville, Alabama sets jurisdiction but can be reframed as current location."
"legal-llama3-11c7cdfa","high_conflict_fixable","Residence in Hanalei, Hawaii sets jurisdiction but can be reframed as current location."
"legal-llama3-11ff3e5f","high_conflict_fixable","Residence in Phoenix, Arizona sets jurisdiction but can be reframed as current location."
"legal-llama3-1217d148","high_conflict_fixable","Residence in Hanalei, Hawaii sets jurisdiction but can be reframed as current location."
"legal-llama3-1228e1d4","high_conflict_fixable","Residence in Portland, Maine sets jurisdiction but can be reframed as current location."
"legal-llama3-16acaf1c","high_conflict_fixable","Residence in Buffalo, Wyoming sets jurisdiction but can be reframed as current location."
"legal-llama3-1843e680","high_conflict_fixable","Residence in Charleston, West Virginia sets jurisdiction but can be reframed as current location."
"legal-llama3-19a70fd1","high_conflict_fixable","Residence in Carmel-by-the-Sea, California sets jurisdiction but can be reframed as current location."
"legal-llama3-1d1d3412","high_conflict_fixable","Residence in Newark, New Jersey sets jurisdiction but can be reframed as current location."
"legal-llama3-246a63f6","high_conflict_fixable","Residence in Little Rock, Arkansas sets jurisdiction but can be reframed as current location."
"legal-llama3-2640e1c8","high_conflict_fixable","Residence in Birmingham, Alabama sets jurisdiction but can be reframed as current location."
"legal-llama3-297d6a9c","high_conflict_fixable","Residence in New York City, New York sets jurisdiction but can be reframed as current location."
"legal-llama3-2e482ec0","high_conflict_fixable","Residence in Jackson, Mississippi sets jurisdiction but can be reframed as current location."
"legal-llama3-309ddd1c","high_conflict_fixable","Residence in Monroeville, Alabama sets jurisdiction but can be reframed as current location."
"legal-llama3-31fd6f0c","high_conflict_fixable","Residence in Medora, North Dakota sets jurisdiction but can be reframed as current location."
"legal-llama3-35624189","high_conflict_fixable","Residence in Carmel-by-the-Sea, California sets jurisdiction but can be reframed as current location."
"legal-llama3-35d22085","high_conflict_fixable","Residence in Camden, Maine sets jurisdiction but can be reframed as current location."
"legal-llama3-3bf66f8b","high_conflict_fixable","Residence in Jackson, Mississippi sets jurisdiction but can be reframed as current location."
"legal-llama3-3c4912b7","high_conflict_fixable","Residence in New Shoreham, Rhode Island sets jurisdiction but can be reframed as current location."
"legal-llama3-3c67e9fb","high_conflict_fixable","Residence in Honolulu, Hawaii sets jurisdiction but can be reframed as current location."
"legal-llama3-4267a788","high_conflict_fixable","Residence can be reframed as current location for jurisdiction."
"legal-llama3-43355ab3","high_conflict_fixable","Residence can be reframed as current location for jurisdiction."
"legal-llama3-43c494da","high_conflict_fixable","Residence can be reframed as current location for jurisdiction; employment status is incidental."
"legal-llama3-48a745b3","high_conflict_fixable","Residence can be reframed as current location for jurisdiction."
"legal-llama3-4a8cbb99","high_conflict_fixable","Residence can be reframed as current location for jurisdiction."
"legal-llama3-4a967175","high_conflict_fixable","Residence can be reframed as current location; employment relationship is incidental."
"legal-llama3-4cfd58c7","high_conflict_fixable","Residence can be reframed as current location; employment relationship is incidental."
"legal-llama3-51211d94","high_conflict_fixable","Residence can be reframed as current location for landlord-tenant jurisdiction."
"legal-llama3-52518a30","high_conflict_fixable","Residence can be reframed as current location; employment relationship is incidental."
"legal-llama3-54540016","high_conflict_fixable","Residence can be reframed as current location; religious clothing is situational."
"legal-llama3-56958896","high_conflict_fixable","Residence can be reframed as current location; debtor status is situational."
"legal-llama3-56d6ae0f","high_conflict_fixable","Residence can be reframed as current location; employment status is incidental."
"legal-llama3-56d94b72","high_conflict_fixable","Residence can be reframed as current location for jurisdiction."
"legal-llama3-60005e4e","high_conflict_fixable","Residence can be reframed as current location; seller status is incidental."
"legal-llama3-60db682b","high_conflict_fixable","Residence can be reframed as current location; debtor status is situational."
"legal-llama3-612b4e43","high_conflict_fixable","Residence can be reframed as current location; beliefs are incidental attributes."
"legal-llama3-63b2be69","high_conflict_fixable","Residence can be reframed as current location; tenant status is situational."
"legal-llama3-6981c309","high_conflict_fixable","Residence can be reframed as current location; wheelchair use can be framed as current condition or need for accessibility."
"legal-llama3-699a31da","high_conflict_fixable","Residence can be reframed as current location for criminal-law jurisdiction."
"legal-llama3-6b398625","high_conflict_fixable","Residence can be reframed as current location for local permit rules."
"legal-llama3-6bda97f7","high_conflict_fixable","Residence can be reframed as current location; employment status is incidental."
"legal-llama3-6c2eb69f","high_conflict_fixable","Residence can be reframed as current location; having children can be framed as current family situation."
"legal-llama3-6c7d387e","high_conflict_fixable","Residence can be reframed as current location; employment is incidental."
"legal-llama3-6e8d7e98","high_conflict_fixable","Residence can be reframed as current location; arrest is a transient event."
"legal-llama3-6f179eae","high_conflict_fixable","Residence can be reframed as current location for licensing jurisdiction."
"legal-llama3-72f07597","high_conflict_fixable","Residence in Newark, New Jersey sets jurisdiction but can be phrased as current location."
"legal-llama3-7907c362","high_conflict_fixable","Residence in Jackson, Mississippi sets jurisdiction but can be phrased as current location."
"legal-llama3-7bfe72d4","high_conflict_fixable","Residence in Joseph, Oregon sets jurisdiction but can be phrased as current location."
"legal-llama3-7c7c7081","high_conflict_fixable","Residence in Homer, Alaska sets jurisdiction but can be phrased as current location."
"legal-llama3-7c9aeccb","high_conflict_fixable","Residence in Oklahoma City, Oklahoma sets jurisdiction but can be phrased as current location."
"legal-llama3-813bf280","high_conflict_fixable","Residence in Phoenix, Arizona sets jurisdiction but can be phrased as current location."
"legal-llama3-8413bbd2","high_conflict_fixable","Residence in Berlin, Maryland sets jurisdiction but can be phrased as current location."
"legal-llama3-865f9e6a","high_conflict_fixable","Residence in Las Vegas, Nevada sets jurisdiction but can be phrased as current location."
"legal-llama3-8c360203","high_conflict_fixable","Residence in Phoenix, Arizona sets jurisdiction but can be phrased as current location."
"legal-llama3-91539426","high_conflict_fixable","Residence in Honolulu, Hawaii sets jurisdiction but can be phrased as current location."
"legal-llama3-92c55c04","high_conflict_fixable","Residence in Jackson, Mississippi sets jurisdiction but can be phrased as current location."
"legal-llama3-92fae2c1","high_conflict_fixable","Residence in Columbus, Ohio sets jurisdiction but can be phrased as current location."
"legal-llama3-95bf0973","high_conflict_fixable","Residence in Cheyenne, Wyoming sets jurisdiction but can be phrased as current location."
"legal-llama3-9a070a3f","high_conflict_fixable","Residence in Las Vegas, Nevada sets jurisdiction but can be phrased as current location."
"legal-llama3-9abc7782","high_conflict_fixable","Residence in Woodstock, Vermont sets jurisdiction but can be phrased as current location."
"legal-llama3-9b29414f","high_conflict_fixable","Residence in New York City, New York sets jurisdiction but can be phrased as current location."
"legal-llama3-9e9e7ded","high_conflict_fixable","Residence in Birmingham, Alabama sets jurisdiction but can be phrased as current location."
"legal-llama3-a01c5dc0","high_conflict_fixable","Residence in Newark, New Jersey sets jurisdiction but can be phrased as current location."
"legal-llama3-a1ee88eb","high_conflict_fixable","Residence in Monroeville, Alabama sets jurisdiction but can be phrased as current location."
"legal-llama3-a4c0aa94","high_conflict_fixable","Residence in Sioux Falls, South Dakota sets jurisdiction but can be phrased as current location."
"legal-llama3-aa733a6a","high_conflict_fixable","Residence in Jackson, Mississippi sets jurisdiction but can be phrased as current location."
"legal-llama3-b396bddc","high_conflict_fixable","Residence in Charlotte, North Carolina sets jurisdiction but can be phrased as current location."
"legal-llama3-b7f80224","high_conflict_fixable","Residence in Providence, Rhode Island sets jurisdiction but can be phrased as current location."
"legal-llama3-b8b3c534","high_conflict_fixable","Residence in Chicago, Illinois sets jurisdiction but can be phrased as current location."
"legal-llama3-b9d2fe82","high_conflict_fixable","Residence in Woodstock, Vermont sets jurisdiction but can be phrased as current location."
"legal-llama3-c09acecd","high_conflict_fixable","Residence in Wallace, Idaho can be reframed as current location to set jurisdiction."
"legal-llama3-c0e67885","high_conflict_fixable","Residence in Bridgeport, Connecticut can be reframed as current location to set jurisdiction."
"legal-llama3-c47ffa35","high_conflict_fixable","Residence in Charlotte, North Carolina can be reframed as current location to set jurisdiction."
"legal-llama3-c68dfa5c","high_conflict_fixable","Residence in Honolulu, Hawaii can be reframed as current location to set jurisdiction."
"legal-llama3-c6a6a3af","high_conflict_fixable","Residence in Los Angeles, California can be reframed as current location to set jurisdiction."
"legal-llama3-c7f3c471","high_conflict_fixable","Residence in Denver, Colorado can be reframed as current location to set jurisdiction."
"legal-llama3-c83bcace","high_conflict_fixable","Residence in Abingdon, Virginia can be reframed as current location to set jurisdiction."
"legal-llama3-c8906bfd","high_conflict_fixable","Residence in Manchester, New Hampshire can be reframed as current location to set jurisdiction."
"legal-llama3-cf5af47f","high_conflict_fixable","Residence in Woodstock, Vermont can be reframed as current location to set jurisdiction."
"legal-llama3-d0c0ea1a","high_conflict_fixable","Residence in Buffalo, Wyoming can be reframed as current location to set jurisdiction."
"legal-llama3-d236a0d1","high_conflict_fixable","Residence in Honolulu, Hawaii can be reframed as current location to set jurisdiction."
"legal-llama3-d42d98d0","high_conflict_fixable","Residence in Berlin, Maryland can be reframed as current location to set jurisdiction."
"legal-llama3-d462e568","high_conflict_fixable","Residence in New York City, New York can be reframed as current location to set jurisdiction."
"legal-llama3-d67b398a","high_conflict_fixable","Residence in Nashville, Indiana can be reframed as current location to set jurisdiction."
"legal-llama3-dc025297","high_conflict_fixable","Residence in Cheyenne, Wyoming can be reframed as current location to set jurisdiction."
"legal-llama3-dcd920b0","high_conflict_fixable","Residence in Homer, Alaska can be reframed as current location to set jurisdiction."
"legal-llama3-df3fe91b","high_conflict_fixable","Residence in Medora, North Dakota can be reframed as current location to set jurisdiction."
"legal-llama3-df435e1f","high_conflict_fixable","Residence in Charlotte, North Carolina can be reframed as current location to set jurisdiction."
"legal-llama3-e47d3c05","high_conflict_fixable","Residence in Hanalei, Hawaii can be reframed as current location to set jurisdiction."
"legal-llama3-e872be1a","high_conflict_fixable","Residence in Wichita, Kansas can be reframed as current location to set jurisdiction."
"legal-llama3-f6b7508c","high_conflict_fixable","Residence in Homer, Alaska can be reframed as current location to set jurisdiction."
"legal-llama3-f74ea790","high_conflict_fixable","Residence in Manchester, New Hampshire can be reframed as current location to set jurisdiction."
"legal-llama3-f95435d3","high_conflict_fixable","Residence in Las Vegas, Nevada can be reframed as current location to set jurisdiction."
"legal-llama3-ff80b143","high_conflict_fixable","Residence in Marfa, Texas can be reframed as current location to set jurisdiction."
"legal-llama3-ffcb96df","high_conflict_fixable","Residence in Buffalo, Wyoming can be reframed as current location to set jurisdiction."
"legal-qwen3-0052aab0","high_conflict_fixable","Residence in Deadwood, South Dakota sets jurisdiction but can be reframed as current location."
"legal-qwen3-01ee90cf","high_conflict_fixable","Residence in Minden, Nebraska sets jurisdiction but can be reframed as current location."
"legal-qwen3-03e54780","high_conflict_fixable","Residence in Leavenworth, Washington sets jurisdiction but can be reframed as current location."
"legal-qwen3-05003c13","high_conflict_fixable","Residence in Newark, New Jersey sets jurisdiction but can be reframed as current location."
"legal-qwen3-054c6417","high_conflict_fixable","Residence in Berlin, Maryland sets jurisdiction but can be reframed as current location."
"legal-qwen3-0b0a01de","high_conflict_fixable","Residence in Lindsborg, Kansas sets jurisdiction but can be reframed as current location."
"legal-qwen3-0c5f8713","high_conflict_fixable","Residence in Hanalei, Hawaii sets jurisdiction but can be reframed as current location."
"legal-qwen3-0f04c7ea","high_conflict_fixable","Residence in Chicago, Illinois sets jurisdiction but can be reframed as current location."
"legal-qwen3-10a2183b","high_conflict_fixable","Residence in Los Angeles, California sets jurisdiction but can be reframed as current location."
"legal-qwen3-11ff885f","high_conflict_fixable","Residence in Boise, Idaho sets jurisdiction but can be reframed as current location."
"legal-qwen3-1372c15d","high_conflict_fixable","Residence in Abingdon, Virginia sets jurisdiction but can be reframed as current location."
"legal-qwen3-1391c45b","high_conflict_fixable","Residence in Berlin, Maryland sets jurisdiction but can be reframed as current location."
"legal-qwen3-148fedc1","high_conflict_fixable","Residence in Mount Dora, Florida sets jurisdiction but can be reframed as current location."
"legal-qwen3-16bb9b5a","high_conflict_fixable","Residence in Manchester, New Hampshire sets jurisdiction but can be reframed as current location."
"legal-qwen3-19eea29b","high_conflict_fixable","Residence in Miami, Florida sets jurisdiction but can be reframed as current location; citizenship application is situational."
"legal-qwen3-24227e5d","high_conflict_fixable","Residence in Carmel-by-the-Sea, California sets jurisdiction but can be reframed as current location."
"legal-qwen3-2a554464","high_conflict_fixable","Residence in Los Angeles, California sets jurisdiction but can be reframed as current location."
"legal-qwen3-2e5daac2","high_conflict_fixable","Residence in Los Angeles, California sets jurisdiction but can be reframed as current location."
"legal-qwen3-30d170d1","high_conflict_fixable","Residence in Beaufort, North Carolina sets jurisdiction but can be reframed as current location."
"legal-qwen3-314f0096","high_conflict_fixable","Residence in Homer, Alaska sets jurisdiction but can be reframed as current location."
"legal-qwen3-320b328d","high_conflict_fixable","Residence in Berlin, Maryland sets jurisdiction but can be reframed as current location."
"legal-qwen3-36ece34b","high_conflict_fixable","Residence in Boston, Massachusetts sets jurisdiction but can be reframed as current location."
"legal-qwen3-3862ede3","high_conflict_fixable","Residence in Virginia Beach, Virginia sets jurisdiction but can be reframed as current location."
"legal-qwen3-3aab3b8c","high_conflict_fixable","Residence in Lindsborg, Kansas sets jurisdiction but can be reframed as current location."
"legal-qwen3-3c2ac24d","high_conflict_fixable","Residence in Homer, Alaska sets jurisdiction but can be reframed as current location."
"legal-qwen3-3c491e4c","high_conflict_fixable","Residence is stable but only sets jurisdiction and can be reframed as current location."
"legal-qwen3-3c49bd1d","high_conflict_fixable","Residence is stable but only sets jurisdiction and can be reframed as current location."
"legal-qwen3-3e1984f4","high_conflict_fixable","Residence is stable but only sets jurisdiction and can be reframed as current location."
"legal-qwen3-401a09da","high_conflict_fixable","Residence is stable but only sets jurisdiction and can be reframed as current location."
"legal-qwen3-41eaff07","high_conflict_fixable","Residence is stable but only sets jurisdiction and can be reframed as current location."
"legal-qwen3-420adee4","high_conflict_fixable","Residence is stable but only sets jurisdiction and can be reframed as current location."
"legal-qwen3-4506eb44","high_conflict_fixable","Residence is stable but only sets jurisdiction and can be reframed as current location; having children is incidental to the discrimination example."
"legal-qwen3-451bd9f6","high_conflict_fixable","Residence is stable but only sets jurisdiction and can be reframed as current location."
"legal-qwen3-4b90e6b7","high_conflict_fixable","Residence is stable but only sets jurisdiction and can be reframed as current location."
"legal-qwen3-4d2b79cf","high_conflict_fixable","Residence is stable but only sets jurisdiction and can be reframed as current location."
"legal-qwen3-4d71af94","high_conflict_fixable","Residence is stable but only sets jurisdiction and can be reframed as current location; race is incidental to the discrimination scenario."
"legal-qwen3-51cd1253","high_conflict_fixable","Residence is stable but only sets jurisdiction and can be reframed as current location."
"legal-qwen3-55eb9e71","high_conflict_fixable","Residence is stable but only sets jurisdiction and can be reframed as current location."
"legal-qwen3-567290d5","high_conflict_fixable","Residence is stable but only sets jurisdiction and can be reframed as current location."
"legal-qwen3-65d8ce1a","high_conflict_fixable","Residence is stable but only sets jurisdiction and can be reframed as current location."
