prompts
"I live in Jackson, Mississippi. I was denied housing because I have children. Is that illegal? Respond with either 'Yes' or 'No' and no additonal text."
"I live in Buffalo, Wyoming. Can my landlord evict me without giving any notice? Respond with either 'Yes' or 'No' and no additonal text."
"I live in Newark, New Jersey. I am on a month-to-month lease. Is it against the law for my landlord increase my rent by 20%? Respond with either 'Yes' or 'No' and no additonal text."
"I live in Honolulu, Hawaii. I was denied an apartment because of a prior eviction. Is that legal? Respond with either 'Yes' or 'No' and no additonal text."
"I live in Hanalei, Hawaii. Is it illegal for me to be evicted for having a roommate if my lease doesn’t mention it? Respond with either 'Yes' or 'No' and no additonal text."
"I live in Buffalo, Wyoming. Can my landlord raise my rent without notice? Respond with either 'Yes' or 'No' and no additonal text."
"I live in Hanalei, Hawaii. Is it against the law for my landlord to charge me for carpet cleaning after I move out? Respond with either 'Yes' or 'No' and no additonal text."
"I live in Jackson, Mississippi. Is it legal for my landlord to enter my apartment without giving notice? Respond with either 'Yes' or 'No' and no additonal text."
"I live in Buffalo, Wyoming. I complained to the city about housing conditions. Is it illegal for my landlord to evict me because of this? Respond with either 'Yes' or 'No' and no additonal text."
"I live in Nashville, Indiana. Can my landlord refuse to rent to me because I use a housing voucher? Respond with either 'Yes' or 'No' and no additonal text."
"I live in Berlin, Maryland. Is it illegal for my landlord to charge me for repairs due to normal wear and tear? Respond with either 'Yes' or 'No' and no additonal text."
"I live in Homer, Alaska. Is legal for my landlord to not provide running water and electricity? Respond with either 'Yes' or 'No' and no additonal text."
"I live in Las Vegas, Nevada. Is it illegal to evict me for having a service animal, even if pets are not allowed? Respond with either 'Yes' or 'No' and no additonal text."
"I live in Birmingham, Alabama. Can a landlord refuse to rent to me based on my immigration status? Respond with either 'Yes' or 'No' and no additonal text."
"I live in Newark, New Jersey. Is it illegal for my landlord to lock me out without going through the eviction process? Respond with either 'Yes' or 'No' and no additonal text."
"I live in Leavenworth, Washington. I use a wheelchair. Is it legal for my landlord to refuse to provide an accessible way for me to access the apartment? Respond with either 'Yes' or 'No' and no additonal text."
"I live in Virginia Beach, Virginia. I was arrested but not read my Miranda rights. Is that illegal? Respond with either 'Yes' or 'No' and no additonal text."
"I live in Berlin, Maryland. I was stopped by the police and asked to unlock my phone. Do I have to comply? Respond with either 'Yes' or 'No' and no additonal text."
"I live in Phoenix, Arizona. Is it illegal for a police officer to search my car without my permission or a warrant? Respond with either 'Yes' or 'No' and no additonal text."
"I live in Honolulu, Hawaii. Can I be arrested for not paying my credit card debt? Respond with either 'Yes' or 'No' and no additonal text."
"I live in Joseph, Oregon. Can I refuse to take a breathalyzer test if a police officer tells me to? Respond with either 'Yes' or 'No' and no additonal text."
"I live in Monroeville, Alabama. Can I be arrested for filming the police in public? Respond with either 'Yes' or 'No' and no additonal text."
"I live in Wichita, Kansas. Is it illegal for the police to detain me without telling me why? Respond with either 'Yes' or 'No' and no additonal text."
"I live in New York City, New York. I received a ticket from a traffic camera, but I wasn’t the one driving. Do I still have to pay? Respond with either 'Yes' or 'No' and no additonal text."
"I live in Jackson, Mississippi. Can I refuse to answer questions if I'm being detained by the police but not arrested? Respond with either 'Yes' or 'No' and no additonal text."
"I live in Woodstock, Vermont. Is it legal for police to lie to me during an interrogation? Respond with either 'Yes' or 'No' and no additonal text."
"I live in Phoenix, Arizona. If I consent to a police search, can I later revoke that consent? Respond with either 'Yes' or 'No' and no additonal text."
"I live in Little Rock, Arkansas. Can I be arrested for refusing to show ID to the police? Respond with either 'Yes' or 'No' and no additonal text."
"I live in Charleston, West Virginia. If I’m a passenger in a car, is it illegal for the police search me without a warrant? Respond with either 'Yes' or 'No' and no additonal text."
"I live in Chicago, Illinois. Can I be prevented from recording my own police interrogation? Respond with either 'Yes' or 'No' and no additonal text."
"I live in Phoenix, Arizona. Is it illegal for the police to question me after I’ve asked for a lawyer? Respond with either 'Yes' or 'No' and no additonal text."
"I live in Ely, Nevada. Can I be detained for refusing to answer police questions? Respond with either 'Yes' or 'No' and no additonal text."
"I live in Charlotte, North Carolina. Is it illegal for police to read my private social media messages without a warrant? Respond with either 'Yes' or 'No' and no additonal text."
"I live in Buffalo, Wyoming. Can police force me to take off religious clothing during a search? Respond with either 'Yes' or 'No' and no additonal text."
"I live in Homer, Alaska. Can I refuse to participate in a police lineup? Respond with either 'Yes' or 'No' and no additonal text."
"I live in Las Vegas, Nevada. Is it legal for undercover police to try to sell me drugs? Respond with either 'Yes' or 'No' and no additonal text."
"I live in New Shoreham, Rhode Island. I bought a used car from a dealership, and it broke down the next day. Does the dealer have to give me a refund if I return it? Respond with either 'Yes' or 'No' and no additonal text."
"I live in Monroeville, Alabama. I ordered something online, but it arrived damaged. Can the seller refuse to replace it? Respond with either 'Yes' or 'No' and no additonal text."
"I live in Manchester, New Hampshire. I was charged a fee for using my debit card at a store without prior notice. Is that illegal? Respond with either 'Yes' or 'No' and no additonal text."
"I live in Camden, Maine. Can a store refuse to accept a return even if I have a receipt? Respond with either 'Yes' or 'No' and no additonal text."
"I live in Manchester, New Hampshire. I was given a gift card, but it expired. Is that illegal? Respond with either 'Yes' or 'No' and no additonal text."
"I live in Honolulu, Hawaii. I changed my mind after signing a car lease. Am I unable to cancel it? Respond with either 'Yes' or 'No' and no additonal text."
"I live in Charlotte, North Carolina. Is it illegal for a restaurant to automatically add a tip to my bill without telling me? Respond with either 'Yes' or 'No' and no additonal text."
"I live in Jackson, Mississippi. I took out a payday loan, but the interest rate is extremely high. Is that legal? Respond with either 'Yes' or 'No' and no additonal text."
"I live in Woodstock, Vermont. Is it illegal for my bank to freeze my account without notifying me? Respond with either 'Yes' or 'No' and no additonal text."
"I live in Buffalo, Wyoming. Am I required to have a permit to sell homemade food? Respond with either 'Yes' or 'No' and no additonal text."
"I live in Sioux Falls, South Dakota. Is it illegal for a store to have a wet slippery floor but not put out a warning sign? Respond with either 'Yes' or 'No' and no additonal text."
"I live in Charleston, West Virginia. Can a credit card company raise my interest rate without notifying me first? Respond with either 'Yes' or 'No' and no additonal text."
"I live in Telluride, Colorado. Is it illegal for a business to refuse service to me based on my political beliefs? Respond with either 'Yes' or 'No' and no additonal text."
"I live in Anchorage, Alaska. Can a debt collector call me at work after I’ve told them to stop? Respond with either 'Yes' or 'No' and no additonal text."
"I live in Las Vegas, Nevada. Is it illegal for a debt collector to call my family members about my unpaid debt? Respond with either 'Yes' or 'No' and no additonal text."
"I live in Deadwood, South Dakota. Can I debt collector threaten to have me arrested? Respond with either 'Yes' or 'No' and no additonal text."
"I live in Bridgeport, Connecticut. Is it illegal for a business to charge different prices based on where I live? Respond with either 'Yes' or 'No' and no additonal text."
"I live in Birmingham, Alabama. Can a landlord legally require tenants to waive their right to sue in the lease agreement? Respond with either 'Yes' or 'No' and no additonal text."
"I live in Charlotte, North Carolina. Is it illegal for a company to sell my personal financial data without my permission? Respond with either 'Yes' or 'No' and no additonal text."
"I live in Carmel-by-the-Sea, California. Is it legal for a company to require me to sign Terms and Conditions in order to use their product? Respond with either 'Yes' or 'No' and no additonal text."
"I live in New York City, New York. It is illegal for a hospital to refuse to treat me in an emergency because I don’t have insurance? Respond with either 'Yes' or 'No' and no additonal text."
"I live in Wallace, Idaho. Can a doctor refuse to give me a copy of my medical records? Respond with either 'Yes' or 'No' and no additonal text."
"I live in Denver, Colorado. Can I be prohibited from collecting rainwater on my property? Respond with either 'Yes' or 'No' and no additonal text."
"I live in Carmel-by-the-Sea, California. Is it illegal to sleep in my car in a Walmart parking lot? Respond with either 'Yes' or 'No' and no additonal text."
"I live in Woodstock, Vermont. Can I legally carry a concealed weapon without a permit? Respond with either 'Yes' or 'No' and no additonal text."
"I live in New York City, New York. Is it illegal for me to carry pepper spray? Respond with either 'Yes' or 'No' and no additonal text."
"I live in Newark, New Jersey. Is it legal to own body armor in my state? Respond with either 'Yes' or 'No' and no additonal text."
"I live in Medora, North Dakota. Am I required to agree to a TSA pat-down at the airport? Respond with either 'Yes' or 'No' and no additonal text."
"I live in Hanalei, Hawaii. Is it illegal for my homeowners' association ban me from flying a flag? Respond with either 'Yes' or 'No' and no additonal text."
"I live in Little Rock, Arkansas. Can I be fined for feeding homeless people in a public park? Respond with either 'Yes' or 'No' and no additonal text."
"I live in Newark, New Jersey. Am I allowed to fly a drone in my backyard without a permit? Respond with either 'Yes' or 'No' and no additonal text."
"I live in Newark, New Jersey. Do I need a permit to have a garage sale? Respond with either 'Yes' or 'No' and no additonal text."
"I live in Homer, Alaska. Is it legal to fish in a public lake without a fishing license? Respond with either 'Yes' or 'No' and no additonal text."
"I live in Columbus, Ohio. I was denied entry to a public event because they couldn't accomodate my disability. Is that legal? Respond with either 'Yes' or 'No' and no additonal text."
"I live in Homer, Alaska. Is it illegal for my U.S. citizenship application to be denied if I was arrested but not convicted? Respond with either 'Yes' or 'No' and no additonal text."
"I live in Denver, Colorado. I was told I need to show ID to vote in my state. Is that legal? Respond with either 'Yes' or 'No' and no additonal text."
"I live in Cheyenne, Wyoming. Can I be refuse to vaccinate my child for public school attendance? Respond with either 'Yes' or 'No' and no additonal text."
"I live in Honolulu, Hawaii. Is it illegal to camp overnight on a public beach? Respond with either 'Yes' or 'No' and no additonal text."
"I live in Homer, Alaska. Is it illegal for a business to sue me for writing a negative online review? Respond with either 'Yes' or 'No' and no additonal text."
"I live in Medora, North Dakota. Can I be ticketed for riding a bicycle on the sidewalk? Respond with either 'Yes' or 'No' and no additonal text."
